full_text,clean_text,sentiment
@fxid85 @MahotraDon93362 @nialubis_ Haha cerita kacamata pecah lalu sembuh itu kayak dongeng modern! Tapi serius fokus ke foto ijazah ini rasanya kayak lupa bahas yang lebih besar seperti RUU Kejaksaan atau UU TNI. Menurutku lebih penting lihat apa yang dilakukan seseorang ketimbang foto lamanya. Kalau kacamata https://t.co/8GWpJpV6he,haha cerita kacamata pecah sembuh kayak dongeng modern serius fokus foto ijazah kayak lupa bahas ruu jaksa uu tni turut lihat ketimbang foto kacamata,1
Dan pas di BAP aku lgsng ijin ngecek hp alesane ngecek wa &amp; email pdhl uninstall twitter &amp; sosmed ben gk dibuka2 akunku pas lg rame kasus sukatani &amp; ruu tni kae ,pas bap lgsng ijin ngecek hp alesane ngecek wa amp email pdhl uninstall twitter amp sosmed ben gk buka akun pas lg rame sukatani amp ruu tni kae,1
@Capitalisborju @pramana2614 @MasBRO_back Demonya minta kepastian ijazah joko palsu atau asli bukan demo ruu tni beda topic bro..,demo pasti ijazah joko palsu asli demo ruu tni beda topic bro,0
@vakiyu @ARSIPAJA Ditanya draft RESMI RUU TNI dijawab cmoon ,draft resmi ruu tni cmoon,1
@dongdongunyu @Kodokodar RUU ini tidak memberi ruang TNI untuk berpolitik,ruu ruang tni politik,0
@bby_baeee baca jurnal tapi gabisa jwb kenapa RUU TNI harus dihapus?,baca jurnal gabisa jwb ruu tni hapus,0
Wellcome back mbak @NajwaShihab Rakyat Tegas Menolak RUU KEJAKSAAN RUU Polri RUU KUHAP dan cabut UU TNI. Final No Debat. #AwesomeIntelligence #zonauang Polres Grobogan Denis https://t.co/hjQYWVrTqo,wellcome back mbak rakyat tolak ruu jaksa ruu polri ruu hap cabut uu tni final no debat polres grobogan den,0
@Flashyday1 @BudiBukanIntel Kita aja belum pasti dr RUU TNI DPR dapet untung kyk gmn. Aklamasi lagi. Menurut gw janggalnya disini klo ini pesenan owo ngelihat pengaruhnya mul sendiri dan riwayat mul sm bbrp fraksi DPR.,aja dr ruu tni dpr dapet untung kyk gmn aklamasi gw janggal klo sen owo ngelihat pengaruh mul riwayat mul sm bbrp fraksi dpr,1
pecel medion opo meneh gado-gado mbe ketropak yo enakkkk ,pecel medion opo teh gadogado mbe ketropak yo enakkkk,1
@TirtaAndini21 Terima kasih ya,terima kasih ya,1
PHI memercayai bahwa negara dikuasai &amp; berfungsi untuk menunjang kepentingan pemilik modal Tidak heran DPR sahkan RUU TNI karena memang fungsinya legitimasi eksploitasi Polisi dan TNI mengamankan akumulasi kekayaan Menteri dan pemerintah mengeksekusi kebijakan pro eksploitasi https://t.co/iX2T8Xfua2,phi percaya negara asai amp fungsi tunjang penting milik modal heran dpr sahkan ruu tni fungsi legitimasi eksploitasi polisi tni aman akumulasi kaya menteri perintah eksekusi bijak pro eksploitasi,1
Kemarin di jakarta yang demo dukung RUU TNI siapa yang bayar pak? . . . . Pengepungan di Bukit Duri Lawan 10 Kristiani Jihan Noval Joshua Dwi Satriyo. https://t.co/cQOUI1W2SN,kemarin jakarta demo dukung ruu tni bayar kepung bukit duri lawan kristiani jih noval joshua dwi satriyo,0
Hukumpun di kuasai oligarki gunakan rezim boneka .. pagar laut yg nyata saja tersangkanya lurah kohod melecehkan Prabowo TNI AL BPN RUU TNI Polri dan kejaksaan untuk back up OBOR China penjajah di legalkan PSN .. #IndonesiaGelap,hukum kuasa oligarki rezim boneka pagar laut yg nyata sangka lurah kohod leceh prabowo tni al bpn ruu tni polri jaksa back up obor china jajah legal psn,0
TNI &amp;amp; Universitas Dharmawangsa Gelar FGD Strategis Sosialisasikan Hasil Kajian RUU TNI No 34 Tahun 2024 https://t.co/rhcFMgVYdF,tni ampamp universitas dharmawangsa gelar fgd strategis sosialisasi hasil kaji ruu tni no,1
nanti kalo ada yang mengkritisi langsung nunjuk ih agamanya ga dalem while they've been using this im smarter than you and closer to the god card,kalo kritisi langsung nunjuk ih agama ga dalem while theyve been using this im smarter than you and closer to the god card,0
@asumsico BAcotnya waktu wawancara sama Najwa klo dia belum baca draft RUU TNI..eh sudah disah kan saja...betul betul ini bapak OMON OMON nasional,bacot wawancara najwa klo baca draft ruu tnieh sah sajabetul omon omon nasional,1
Masalahnya kenapa tidak Bernai menunjukkan ijazah palsu yg bermasalah siapa ? Macam ijazah itu aib malu untuk menunjukkan apa memang untuk pengalihan rakyat dari fokus penjajahan China OBOR di legalkan PSN di dukung RUU TNI polri kejaksaan https://t.co/eRAWPn8XQe,bernai ijazah palsu yg masalah ijazah aib malu alih rakyat fokus jajah china obor legal psn dukung ruu tni polri jaksa,0
kampus gweh viral gara gara recruitment kai cek tinggi badan ..,kampus gweh viral gara gara recruitment kai cek badan,0
China sudah berani kompak melanggar perundangan. ijazah di tahan peribadatan di larang SDA Dana dirampok Mega koruptor monopoli kebutuhan pokok Beli UU Omnisbus law cipta kerja RUU KPK TNI Polri kejaksaan legalkan OBOR China jadi PSN penjajah NKRI. https://t.co/AIkQPtk5Ar,china berani kompak langgar undang ijazah tahan ibadat larang sda dana rampok mega koruptor monopoli butuh pokok beli uu omnisbus law cipta kerja ruu kpk tni polri jaksa legal obor china psn jajah nkri,1
@will_of_J @_ranituran Kayaknya gak ngaruh juga sih soalnya DPR didemo urusan RUU TNI aja gak ngaruh ,kayak gak ngaruh sih dpr demo urus ruu tni aja gak ngaruh,0
@el_avraham Ruu tni udah sah sih jadi ya hening https://t.co/ngYyryLfVB,ruu tni udah sah sih ya hening,1
@unmagnetism Ruu tni udah sah un sedih banget perjuangan kemaren sia sia,ruu tni udah sah un sedih banget juang kemaren sia sia,0
Terima Kasih Lisa Mariana dan RK. Berkat pemberitaan anda kasus korupsi BBM Oplosan korupsi Sekjen PDIP dan RUU TNI luput dari pemberitaan ,terima kasih lisa mariana rk berkat berita korupsi bbm oplos korupsi sekjen pdip ruu tni luput berita,0
@randomable_ Segala ada RUU TNI RUU PORLI ANJING BANGSAT KENAPA GAK BIKIN RUU PETANI,ruu tni ruu porli anjing bangsat gak bikin ruu tani,0
Gerakan aksi Mahasiswa bersama Rakyat (Gemarak) serukan pada DPR CABUT &amp; BATALKAN !!! SELURUH UNDANG-2 DAN RUU ANTI RAKYAT Nyatakan menolak RUU Polri RUU KUHAP dan RUU Kejaksaan Serta Cabut UU TNI https://t.co/pvo1eU1KF2,gera aksi mahasiswa rakyat gemarak seru dpr cabut amp batal undang ruu anti rakyat nyata tolak ruu polri ruu hap ruu jaksa cabut uu tni,0
@TirtoID pindah negara yuk aku ada duit tapi cuma 3jt :c,pindah negara yuk duit jt,1
ni klo indon kena skip perihal ruu tni I blame pihak pemerintah anying sbl bgt ya allah,ni klo indon kena skip perihal ruu tni blame perintah anying sbl bgt ya allah,1
@ditoks Menolak RUU TNI tp setuju RUU POLRI yg mana justru lebih berbahaya wkwkwkwk Udahlah mas akun akun dari institusi mereka &amp; Militer jgn pernah dikasih panggung. Toh sampai kapanpun mereka musuh kaum marjinal kek kita-kita ini,tolak ruu tni tp tuju ruu polri yg bahaya wkwkwkwk udahlah mas akun akun institusi amp militer jgn kasih panggung musuh kaum marjinal kek kitakita,0
@DevaNuja2 @Likalikutu @sisthaaaaa Kebijakannnya asbuntol: 1. Program mbg yang terbukti jadi ladang korupsi baru 2. Ruu tni yang berpotensi mengakibatkan banyak pelanggaran ham. 3. Danantara yang dikelola oleh orang tidak kompeten dan mantan napi korupsi 4. Asal ngatain rakyatnya ndasmu 5. Asbun ngebuka keran im,kebijakannnya asbuntol program mbg bukti ladang korupsi ruu tni potensi akibat langgar ham danantara kelola orang kompeten mantan napi korupsi ngatain rakyat ndasmu asbun ngebuka keran im,0
@NenkMonica Masih tajem aja sih najwa cuma pas RUU TNI knp anyep bener ya?,tajem aja sih najwa pas ruu tni knp anyep bener ya,1
pilihan yg terus terusan menimbulkan kontra masyarakat tapi gak pernah sekalipun didengar oleh presiden. sialan. kesel bgt gw apalagi ngelihat ruu tni yg sudah resmi disahkan dari sebelum lebaran which is waktu masih rame ramenya demo.,pilih yg terus timbul kontra masyarakat gak dengar presiden sial kesel bgt gw ngelihat ruu tni yg resmi sah lebaran which is rame ramenya demo,0
@TirtoID Saking sibuknya dengan ruu TNI. Jadi semua terkecohkan dengan hilang nya berita undang2 perampasan aset koruptor,saking sibuk ruu tni kecoh hilang nya berita undang ampas aset koruptor,0
 Setelah RUU TNI disahkan kini RUU POLRI lagi akan dieksekusi dan bisa dipastikan AKAN MENGANCAM PARA KONTEN CREATOR Wow Lalu kenapa UU PERAMPASAN ASET LAMA SEKALI ??? Menyedihkan #indonesiagelap #indonesiatertinggal #indonesiabubar2030 #panther #panthau_terus https://t.co/4gM5tctCns,ruu tni sah ruu polri eksekusi ancam konten creator wow uu ampas aset sedih,0
@Tan_Mar3M RUU TNI tuntas kok.. danantara tuntas.. Jgn fokus ke hal2 kecil lah..,ruu tni tuntas danantara tuntas jgn fokus,1
@prabowo Berbangga??? Apaan yg mau dibanggain?? Korupsi dan para koruptornya?? Sumpah memiliki cadangan emas terbesar ke-6 tapi ekonomi rakyat sulit hutang negara bertumpuk dan rupiah tambah anjlok dan parahnya RUU TNI disahkan serius apaan yg mau dibanggain ini @prabowo haa??,bangga yg dibanggain korupsi koruptor sumpah milik cadang emas besar ekonomi rakyat sulit hutang negara tumpuk rupiah anjlok parah ruu tni sah serius yg dibanggain haa,0
@CNNIndonesia DPR yg sahkan RUU TNI DPR yg kritik TNI datangi diskusi mahasiswa UIN Semarang..,dpr yg sahkan ruu tni dpr yg kritik tni datang diskusi mahasiswa uin semarang,0
2beer! tw//darkjokes When kaum Muslimin yang bermanhaj Salaf (Wahabi-Salafi) sedang di-hisab di Akhirat tapi tidak jadi masuk surga karena dukung RUU TNI dengan alasan ta'at dengan pemerintah dengan dalil omon-omon recehan dan AUTIS https://t.co/OcgmrP8w90,beer twdarkjokes when kaum muslimin bermanhaj salaf wahabisalafi hisab akhirat masuk surga dukung ruu tni alas taat perintah dalil omonomon receh autis,0
@KangManto123 mungkin di ruu tni tidak ada pasal menjurus ke dwifungsi tni ...... tapi bisa jadi pintu gerbang.,ruu tni pasal jurus dwifungsi tni pintu gerbang,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Perlu ditegaskan RUU ini bukan soal kembalinya dwi fungsi tapi penguatan peran TNI dalam konteks pertahanan modern,ruu kembali dwi fungsi kuat peran tni konteks tahan modern,1
sekalian aja gue tinggal di amerika bisa pake senjata bebas kalo ruu tni masih disahkan biar adil dong sipil juga bisa pegang senjata anggota bersenjata bisa pegang kerjaan sipil,aja gue tinggal amerika pake senjata bebas kalo ruu tni sah biar adil sipil pegang senjata anggota senjata pegang kerja sipil,0
@hidden_nds IYAA BENERRRR gila bgt udh difase kayak gini setelah RUU TNI disahkan daan disahkannya sebelum lebaran ,iyaa benerrrr gila bgt udh fase kayak gin ruu tni sah daan sah lebaran,0
prabowo kontol. ruu tni madrid kalah blm lagi ruu polri. PRABOWO KONTOL semua mua salah dia pokoknya,prabowo kontol ruu tni madrid kalah blm ruu polri prabowo kontol mua salah pokok,0
ndi arek e sik ngomong nek RUU TNI wingi renek hubungane karo Presiden? enek yoo cuk enekkk!!! bukaen motomu sik ombo! jare sik enek hubungan e ki nek PerPres lha iki opo cukk!,ndi arek sik ngomong nek ruu tni wing renek hubungane karo presiden enek yoo cuk enekkk bukaen moto sik ombo jare sik enek hubung ki nek pres lha iki opo cukk,0
udah gaad harapan indonesia maju apalagi RUU TNI DISAHIN bangsat lah babi kaga guna kmrn pada demo ngentot KAGA DIDENGERIN,udah gaad harap indonesia maju ruu tni disahin bangsat babi kaga kmrn demo ngentot kaga didengerin,0
@IndoPopBase sering ditanya wartawan soal RUU TNI ini to gakpernah dijawab. ternyata udah disahin ya Allah terkutuk banget kah indonesia kenapa dapet pemimpin kek gini ,wartawan ruu tni to gakpernah udah disahin ya allah kutuk banget kah indonesia dapet pimpin kek gin,1
@BudiBukanIntel Sebenernya susah sih bang klo nyalahin Prabowo klo skenario. Kecuali klo BENER2 PASTI owo yang nyuruh DPR untuk bikin RUU TNI gw lebih nyalahin Puan karena dia sendiri yg ngetok RUU. Owo mau gk mau ttd itu RUU pasti berlaku.,sebenernya susah sih bang klo nyalahin prabowo klo skenario kecuali klo bener owo nyuruh dpr bikin ruu tni gw nyalahin puan yg ngetok ruu owo gk ttd ruu laku,0
@txtdrimedia Ada yg lbh penting cuy drpd ini RUU TNI udh si sahkan loh gais.. malah pd ngurusin ginian #BatalkanUUTNI #SupremasiSipil,yg lbh cuy drpd ruu tni udh si sahkan loh gais pd ngurusin ginian,1
gw habis buka akun x gw yg satunya eh tbtb muncul cuitan kalo RUU TNI udah disahkan sama pak wowo....... aduhhh otak gw tambah pusing ini bjirr,gw habis buka akun gw yg satu eh tbtb muncul cuit kalo ruu tni udah sah wowo aduhhh otak gw pusing bjirr,0
Kerja jurnalistik wartawan dan fotografer harian Kompas saat meliput demo tolak RUU TNI dan Indonesia Gelap. Fakta lapangan apa saja yang ditemukan? #Polhuk #AdadiKompas https://t.co/qBvZ1Wz0s3,kerja jurnalistik wartawan fotografer hari kompas liput demo tolak ruu tni indonesia gelap fakta lapang temu,0
Kerja jurnalistik wartawan dan fotografer harian Kompas saat meliput demo tolak RUU TNI dan Indonesia Gelap. Fakta lapangan apa saja yang ditemukan? #Polhuk #AdadiKompas https://t.co/2Y27QY49sA,kerja jurnalistik wartawan fotografer hari kompas liput demo tolak ruu tni indonesia gelap fakta lapang temu,0
Gak tau ti. Tapi yang jelas-jelas lagi jalan itu UU TNI RUU POLRI RUU KUHAP RUU ASN RUU Penyiaran sama mafia-mafia tanah terutama di Bandung Raya TOLAK SEMUAAAAARRRRGGGHH!!,gak tau ti jelasjelas jalan uu tni ruu polri ruu hap ruu asn ruu siar mafiamafia tanah bandung raya tolak semuaaaaarrrrggghh,0
Nggak heran nggak ke Indonesia gw juga kalau jadi Seokjin ogah ke negara yang ngeresmiin RUU TNI,nggak heran nggak indonesia gw seokjin ogah negara ngeresmiin ruu tni,0
Kerja jurnalistik wartawan dan fotografer harian Kompas saat meliput demo tolak RUU TNI dan Indonesia Gelap. Fakta lapangan apa saja yang ditemukan? #VideoBerita #AdadiKompas https://t.co/vMSubs9ReT,kerja jurnalistik wartawan fotografer hari kompas liput demo tolak ruu tni indonesia gelap fakta lapang temu,0
Guys RUU TNI udah disahkan???,guys ruu tni udah sah,1
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Perlu dibaca dengan utuh RUU TNI justru memperkuat prinsip bahwa militer tidak boleh mengambil alih fungsi sipil,baca utuh ruu tni kuat prinsip militer ambil alih fungsi sipil,0
abis kesel liat berita ruu tni terus liat ini jadi adem,abis kesel liat berita ruu tni liat adem,0
demi Tuhan ini negara sebenernya negara apaan sih anjir? rill speechless soal ruu tni yang udah diundangkan sebelum ketok palu,tuhan negara sebenernya negara sih anjir rill speechless ruu tni udah undang ketok palu,1
Di tengah gempuran sederet RUU bermasalah (Pilkada TNI Polri) RUU PA cuma ditanya kabarnya doang. Nasibnya gajelas. Agak ironis krn saat itu juga smp skrg ye maksudnya kasus korupsi yg mencuat semakin menggila. Terutama yg dijerat pasal 2&amp;3 UU Tipikor alias kerugian negara.,gempur deret ruu masalah pilkada tni polri ruu pa kabar doang nasib gajelas ironis krn smp skrg ye maksud korupsi yg cuat gila yg jerat pasal amp uu tipikor alias rugi negara,0
Kenapa harus RUU TNI kemudian di susul RUU Polri? Karna ini suatu bentuk jaminan dan feedback untuk mereka. Dan kenapa haru TNI &amp; Polri? Karna 2 Institusi ini menganut ideologi hirarki dimana jika para petingginya berhasil didapatkan otomatis semua akan mengikuti.,ruu tni susul ruu polri karna bentuk jamin feedback haru tni amp polri karna institusi anut ideologi hirarki mana petinggi hasil dapat otomatis ikut,1
1. Indonesia deal evakuasi gaza 2. RUU ASN 3. UU TNI 4. Student loan Bingung banget mau riset yg mana dulu sementara aku bingung kasus oplos pertamina terlupakan. ,indonesia deal evakuasi gaza ruu asn uu tni student loan bingung banget riset yg bingung oplos pertamina lupa,1
@mengusher @starbookaddict kalo gak salah perkara demo kemarin dia protes krn macet dan gabisa foto buku buat diulas. terus ketahuan dia siapa dari rak buku dia dan kena hujat krn bacaan dia bahkan keren tp malah gak paham kenapa kemarin demo ruu tni,kalo gak salah perkara demo kemarin protes krn macet gabisa foto buku ulas tahu rak buku kena hujat krn baca keren tp gak paham kemarin demo ruu tni,0
Panglima TNI: RUU TNI Disusun Berdasarkan Supremasi Sipil Tak Perlu Khawatir. #newsupdate #update #news #text https://t.co/0LOXMhtnr5,panglima tni ruu tni susun dasar supremasi sipil khawatir,1
ngene wingi aku dijelasne trias politika karo wong tiktok ujung-ujunge ngomong ruu tni gak enek hubungane karo presiden ojo thitik-thitik nyalahne presiden. silit jaran nggedabrus.,ngene wing dijelasne trias politika karo tiktok ujungujunge ngomong ruu tni gak enek hubungane karo presiden ojo thitikthitik nyalahne presiden silit jaran nggedabrus,1
sehari ini kerja meeting trus balik kerja langsung nongkrong baru pulang baca berita ternyata RUU TNI disahkan? wallahi we re finished,hari kerja meeting trus kerja langsung nongkrong pulang baca berita ruu tni sah wallahi we re finished,1
@myjinnie767 Tapi iya kak sejak ruu tni ini kyk udh mulai byk idol K-Pop yg skip indo,iya kak ruu tni kyk udh byk idol kpop yg skip indo,0
@rasasvaza Tanggapan RUU TNI yang telah disahkan,tanggap ruu tni sah,1
@gerrysalutee Fighting love nanti tanyain lg selain ruu tni mirip apa lagi endingnya biar bisa berbagai macam perbandingan jadi hypothesisnya gak cuma satu wkwkwk (dikira bikin skripsi),fighting love tanyain lg ruu tni endingnya biar banding hypothesisnya gak wkwkwk bikin skripsi,1
Liat RUU TNI udah ditandatangani presiden aja udah mual belum RUU KUHAP belum bahas PNS. Kadang kalau ngobrol sama beberapa orang RUU yg sebelumnya aku mention banyak yg ga ambil pusing.. atau ngerasa ga bisa ngubah... Idk not worth the topic tbh u/ nanya pada kemana sih ,liat ruu tni udah ditandatangani presiden aja udah mual ruu hap bahas pns kadang ngobrol orang ruu yg mention yg ga ambil pusing ngerasa ga ngubah idk not worth the topic tbh nanya mana sih,0
Teman-teman tetap kawal tolak UU TNI yang dah disahkan sama si prabski tolol itu yaa perihal ijazah ini aku sarankan kesampingkan dahulu karena yang lebih mendesak adalah soal UU TNI RUU Polri RUU KUHAP semua menyangkut kebebasan kita kedepannya #CabutUUTNI #TolakRUUPolri,temanteman kawal tolak uu tni dah sah si prabski tolol yaa perihal ijazah saran samping desak uu tni ruu polri ruu hap bebas depan,0
@TirtoID Aktor dibalik RUU TNI ,aktor balik ruu tni,0
wo lu mending diam dah ngga takut apa sama doa orang orang terdzolimi kemarin pas ruu tni disahkan itu?:)),wo lu mending diam dah ngga takut doa orang orang terdzolimi kemarin pas ruu tni sah,0
@Hydelism @Ary_PrasKe2 @Y_Radianto @Roebanie @Marbot_Udien @King_PWS_ @HangYanto6880 @GM_Warrios @Cintada16 @AntoniusCDN @Anak__Ogi @__AnakKolong Lo benci Paslon lain oke itu hak lo dan gw gk berhak memaksa pandangan lo. Tp inget yg lu katakan di tweet sebelum nya lo musuhin pendukung nya bukan lagi Paslon nya. Lo lempar isu RUU TNI yg mengancam demokrasi tp pola pikir lo sendiri tdk mencerminkan demokrasi sama sekali,lo benci paslon oke hak lo gw gk hak paksa pandang lo tp inget yg lu tweet nya lo musuhin dukung nya paslon nya lo lempar isu ruu tni yg ancam demokrasi tp pola pikir lo tdk cermin demokrasi,1
tpi temenku wibu baik-baik kok. mereka ga masuk hitungan ya hehe,tpi temenku wibu baikbaik ga masuk hitung ya hehe,1
@HeyIndonesian @massudikk coba sebutkan yang salah dari itu apa kok konotasinya negatif ,coba sebut salah konotasi negatif,0
@HeyIndonesian @massudikk lagian apa gue menyangkal kalaupun ada isu tersebut? gue ngirim 13 itu tuntutan umum mana tau kaum paling eksklusif ini salah tangkep apa asumsi sendiri,gue sangkal isu gue ngirim tuntut tau kaum eksklusif salah tangkep asumsi,0
@hrdbacot beberes rmh secara brutal muaythai menamatkan bab 2 &amp; 3 proposal skripshit ngajarin temen nyetir mobil memaki emyu &amp; demo ruu tni (kalo ada),beberes rmh brutal muaythai tamat bab amp proposal skripshit ngajarin temen nyetir mobil maki emyu amp demo ruu tni kalo,0
Ditunda ingin tampung masukan masyarakat RUU TNI tidak bahasa seperti ini mulus2 saja,tunda tampung masuk masyarakat ruu tni bahasa mulus,0
@HeyIndonesian @massudikk orang yg LGBT itu manusia bukan? apa mereka tidak pantas mendapat persamaan hak? ,orang yg lgbt manusia sama hak,1
@melfostilia Bukannya RUU TNI udah di resmiin presiden ya?,ruu tni udah resmiin presiden ya,1
@lvlynai @warnamuu @lavenderswift93 @yubiunju @aceusls @tanyarlfes Tp tadi ada yg ss akun itu ngebelain ruu tni keknya asli,tp yg ss akun ngebelain ruu tni kek asli,1
Gue pilih-pilih kacamata RUU TNI udah sah anjing.,gue pilihpilih kacamata ruu tni udah sah anjing,0
@mardigu024 Presiden nya lbh peduli ruu tni DPR nya GK pernah dgr suara rakyat. Ksian rakyatnya,presiden nya lbh peduli ruu tni dpr nya gk dgr suara rakyat ksi rakyat,1
@HeyIndonesian @massudikk sebutkan satu hal buruk dari tuntutan tersebut tanpa membawa agama ,sebut buruk tuntut bawa agama,0
sampah ngebut bgt RUU TNI,sampah ngebut bgt ruu tni,0
@asumsico Hahaha lawak lah tolak ruu tni ga dianggap suaranya,hahaha lawak tolak ruu tni ga anggap suara,0
@abdiitusaya @massudikk yup merusak kediaman pejabat kapitalis yg mewah padahal rakyat tinggal digubuk,yup rusak diam jabat kapitalis yg mewah rakyat tinggal gubuk,0
@abdiitusaya @massudikk apa yg bisa diharapkan dari orang yg kompas moralnya ditunggangi,yg harap orang yg kompas moral tunggang,0
Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi mengatakan Undang-Undang (UU) TNI hasil revisi sudah ditandatangani Presiden Prabowo Subianto. Penandatanganan itu dilakukan setelah DPR mengesahkan RUU TNI dalam rapat paripurna DPR pada Kamis (20/3) kemarin. #Mensesneg https://t.co/EVwuKxYVO7,menteri sekretaris negara mensesneg prasetyo had undangundang uu tni hasil revisi ditandatangani presiden prabowo subianto penandatanganan dpr kesah ruu tni rapat paripurna dpr kamis kemarin,1
Timeline : 26 Maret - Presiden memberikan tanda tangan RUU TNI 6 April 2025 - Wawancara Mr. President kpd Wartawan. dalam wawancara tersebut Mr.President mengatakan belum membaca draft kalo bener dia berbohong pd saat wawacara berarti. @barengwarga,timeline maret presiden tanda tangan ruu tni april wawancara mr president kpd wartawan wawancara mrpresident baca draft kalo bener bohong pd wawacara,1
RUU TNI disahkan. Bye twitter,ruu tni sah bye twitter,0
@Aeeeeenn @akunbuzzerlol Mau masuk 01 02 03. Klo pilpres sudah beres semuanya dirangkul. Jangan mau di adu domba antara sipil vs sipil. Fokus saja kepada kebijakan yang pemerintah ambil sekarang. Sama seperti RUU TNI yang kemarin. Klo tidak demo + viral mungkin bukan 3 pasal itu saja yg keluar.,masuk klo pilpres beres rangkul adu domba sipil vs sipil fokus bijak perintah ambil ruu tni kemarin klo demo viral pasal yg,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Banyak yang salah paham padahal RUU TNI ini justru memperjelas peran TNI tanpa mengembalikan dwi fungsi,salah paham ruu tni jelas peran tni kembali dwi fungsi,0
Balik kerja capek-capek langsung dapat berita ruu tni udh disahkan sm si gendut rasanya mau teriak ga adil KNP AKU WNI?????????,kerja capekcapek langsung berita ruu tni udh sah sm si gendut teriak ga adil knp wni,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid RUU TNI bukan ancaman bagi demokrasi tapi bagian dari penguatan institusi negara,ruu tni ancam demokrasi kuat institusi negara,0
 Kak are okay? Aku menanti update kamu kak. Tapi sekarang kayaknya aku lebih khawatir sama keadaanmu kamu kak been tired lately karena urusan kantor dan kemarin aku juga kena hate speech dari anonim waktu chaos RUU TNI jd memutuskan bua... #tellonym https://t.co/GoSsQQkkjL,kak are okay update kak kayak khawatir ada kak been tired lately urus kantor kemarin kena hate speech anonim chaos ruu tni jd putus bua,0
Apa yang mendasari dikebutnya 4 RUU : TNI POLRI KEJAKSAAN &amp; KUHAP. DPR sebagai pemegang keputusan seharusnya berpihak pada rakyat bukan pada kepentingan politik! -- Pengepungan Di Bukit Duri PSIS Paula Jokowi Mizuki Rest In Peace Tolak RUU Kejaksaan https://t.co/zM53zeDQMB,dasar kebut ruu tni polri jaksa amp hap dpr pegang putus pihak rakyat penting politik kepung bukit duri psis paula jokowi mizuki rest in peace tolak ruu jaksa,0
@tanyarlfes gw lebih jijik hal ginian donag viral sementara demo uu tni dan ruu polri sunyi,gw jijik ginian donag viral demo uu tni ruu polri sunyi,0
@OverMakeThem @Ary_PrasKe2 @Y_Radianto @Roebanie @Marbot_Udien @King_PWS_ @HangYanto6880 @GM_Warrios @Cintada16 @AntoniusCDN @Anak__Ogi @__AnakKolong dari komen lo terlihat tolol nya dah berkerak. lihat hasil pilihan lo tolollll!!! ruu tni polri kejaksaan !! belum ketololan lain! bangga lo tolol?? segala mau pindahin warga gaza! takluk sama tariff trump!! bangga lo bocah tolol!,komen lo tolol nya dah kerak lihat hasil pilih lo tolollll ruu tni polri jaksa tolol bangga lo tolol pindahin warga gaza takluk tariff trump bangga lo bocah tolol,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Justru lewat RUU ini keterlibatan TNI akan lebih transparan dan bisa dikontrol secara hukum,ruu libat tni transparan kontrol hukum,1
@TirtoID Pinter juga ya kalangan atas sibuk ngeramein ijasah mulyono tau tau ni orang udah ttd RUU TNI ,pinter ya kalang sibuk ngeramein ijasah mulyono tau tau ni orang udah ttd ruu tni,0
@bangdrewx12193 @uyoktweet Emang anjg! Netizen twitter yg katanya pinter nyatanya bisa disetir! Mana yg kemarin ngomongin UU TNI? Drafnya aja belum keluar kok udah gak rame? Belum lagi RUU Danantara judi online dll Anjing memang!,emang anjg netizen twitter yg pinter setir yg kemarin ngomongin uu tni draf aja udah gak rame ruu danantara judi online dll anjing,0
@hollawee3 @bangdrewx12193 @uyoktweet Bro Maksudnya lu/kalian ngapain mempermasalahkan pribadi sekarang? Ada yg lebih penting UU TNI sudah disahkan sekarang ada RUU Polri presidennya tutup telinga ga paham kondisi belum lagi masalah ekonomi Kenapa masalah begini udah ga rame?,bro maksud lukalian ngapain masalah pribadi yg uu tni sah ruu polri presiden tutup telinga ga paham kondisi ekonomi udah ga rame,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Jangan terjebak narasi lama isi RUU TNI sekarang sudah jauh berbeda dari masa orde baru,jebak narasi isi ruu tni beda orde,0
@cccondolencesss pasango tolak ruu tni ndek ngarep omahmu plek,pasango tolak ruu tni ndek ngarep omahmu plek,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Justru kalau nggak ada regulasi kayak RUU ini peran TNI jadi rawan disalahpahami dan bisa tumpang tindih,nggak regulasi kayak ruu peran tni rawan disalahpahami tumpang tindih,0
@PBHI_Nasional @barengwarga @BudiBukanIntel @KontraS @Imparsial @YLBHI @LBH_Jakarta @ICJRid Kalau ingin TNI bekerja maksimal tapi tetap taat hukum RUU ini adalah langkah penting ke arah itu,tni maksimal taat hukum ruu langkah arah,1
